set,A n,A p,B n,B p,H n,H p,N n,N p,P n,P p,W n,W p,X n,X p
4,0,0.0,0,0.0,3,18.8,9,56.2,0,0.0,4,25.0,0,0.0
6,0,0.0,0,0.0,19,65.5,2,6.9,4,13.8,4,13.8,0,0.0
7,0,0.0,3,3.3000000000000003,0,0.0,0,0.0,0,0.0,76,83.5,12,13.200000000000001
8,1,2.3,0,0.0,42,95.5,0,0.0,0,0.0,1,2.3,0,0.0
9,1,1.7999999999999998,0,0.0,47,85.5,3,5.5,1,1.7999999999999998,3,5.5,0,0.0
10,0,0.0,4,10.8,23,62.2,2,5.4,0,0.0,8,21.6,0,0.0
11,1,1.7999999999999998,0,0.0,53,93.0,1,1.7999999999999998,0,0.0,2,3.5000000000000004,0,0.0
12,0,0.0,1,4.5,0,0.0,0,0.0,0,0.0,17,77.3,4,18.2
